visited_at,posts_read,mobile,time_read
2025-12-07,12,true,1822
2025-12-08,18,true,3165
2025-12-09,9,true,1825
2025-12-10,10,true,300
2025-12-11,11,true,1946
2025-12-12,12,true,2415
2025-12-13,16,true,2380
2025-12-14,6,true,812
2025-12-15,9,true,1680
2025-12-16,11,true,499
2025-12-17,8,true,832
2025-12-18,17,true,1637
2025-12-19,3,true,2128
2025-12-20,12,true,1766
2025-12-21,6,true,1144
2025-12-22,11,true,1301
2025-12-23,8,true,1104
2025-12-24,2,false,456
2025-12-25,3,true,77
2025-12-26,8,true,2245
2025-12-27,3,true,2666
2025-12-28,8,true,1129
2025-12-29,13,true,2365
2025-12-30,4,true,1054
2025-12-31,14,true,979
2026-01-01,9,true,1212
2026-01-02,7,true,698
2026-01-03,13,true,1782
2026-01-04,8,true,347
2026-01-05,11,true,1057
2026-01-06,9,true,623
2026-01-07,6,true,349
2026-01-08,2,true,530
2026-01-09,2,true,458
2026-01-10,9,true,4504
2026-01-11,6,true,725
2026-01-12,4,true,603
2026-01-13,6,true,159
2026-01-14,4,true,100
2026-01-15,6,true,769
2026-01-16,8,true,749
2026-01-17,7,true,726
2026-01-18,4,true,524
